City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,terrace,54.5163,-128.6035,267.56,58,88,1.66,CA,1670015528
346,victor harbor,-35.5667,138.6167,292.97,48,0,2.07,AU,1670015528
347,mackay,-21.15,149.2,296.86,73,37,8.23,AU,1670015528
348,yamada,39.4667,141.95,273.93,66,5,2.36,JP,1670015528
349,inuvik,68.3499,-133.7218,260.95,89,100,3.07,CA,1670015529
350,ixtapa,20.7,-105.2,302.72,54,0,5.14,MX,1670015529
351,ayr,55.4627,-4.6339,281.1,87,75,2.57,GB,1670015529
352,meulaboh,4.1363,96.1285,296.59,90,100,1.72,ID,1670015529
353,isiro,2.7739,27.616,291.57,97,54,0.99,CD,1670015529
354,south sioux city,42.4739,-96.4136,273.12,74,0,10.29,US,1670015530
355,alboraya,39.5,-0.35,286.42,62,75,3.13,ES,1670015270
356,itoman,26.1247,127.6694,294.58,96,100,6.17,JP,1670015257
357,nisia floresta,-6.0911,-35.2086,299.6,71,46,3.41,BR,1670015530
358,tirodi,21.6833,79.7,289.65,68,9,1.42,IN,1670015530
359,palkino,57.5409,28.0126,265.01,99,90,1.34,RU,1670015531
360,puksoozero,62.5903,40.6066,263.85,83,100,2.26,RU,1670015531
361,port macquarie,-31.4333,152.9167,290.87,80,91,2.79,AU,1670015531
362,bichura,50.5881,107.6022,254.76,85,100,3.64,RU,1670015531
363,le port,-20.9373,55.2919,296.15,84,18,1.13,RE,1670015531
364,ponta do sol,32.6667,-17.1,291.88,65,84,5.9,PT,1670015532
365,isangel,-19.55,169.2667,301.61,79,100,6.36,VU,1670015532
